date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2000-01-04,sz.000049,8.3800,8.6400,8.1000,8.6100,8.3800,478367,4023577.8200,1.071255,1,2.744625,155.488083,5.525455,31.112841,-80.295749,0
2000-01-05,sz.000049,8.6000,8.9500,8.4000,8.6500,8.6100,493929,4312061.2300,1.106105,1,0.464576,156.210444,5.551125,31.257384,-80.668784,0
2000-01-06,sz.000049,8.6500,9.0000,8.4700,8.8600,8.6500,568796,4995402.4800,1.273762,1,2.427746,160.002836,5.685892,32.016233,-82.627217,0
2000-01-07,sz.000049,9.0000,9.5500,8.9000,9.5100,8.8600,1410535,12890543.5500,3.158753,1,7.336350,171.741193,6.103029,34.365054,-88.689033,0
2000-01-10,sz.000049,9.7000,9.7800,9.1500,9.4100,9.5100,1248400,11723605.8000,2.795668,1,-1.051529,169.935292,6.038854,34.003697,-87.756446,0
2000-01-11,sz.000049,9.4500,9.5000,8.8000,8.8900,9.4100,1187570,10772277.1800,2.659445,1,-5.526031,160.544606,5.705145,32.124641,-82.906993,0
2000-01-12,sz.000049,8.8900,9.0500,8.5100,8.7200,8.8900,428510,3737428.7000,0.959606,1,-1.912262,157.474574,5.596047,31.510334,-81.321595,0
2000-01-13,sz.000049,8.6900,9.2900,8.6100,9.0800,8.7200,1259049,11346534.4400,2.819515,1,4.128437,163.975818,5.827077,32.811219,-84.678909,0
2000-01-14,sz.000049,9.1600,9.2000,8.9000,8.9100,9.0800,448235,4021904.2500,1.003778,1,-1.872248,160.905786,5.717980,32.196912,-83.093510,0
2000-01-17,sz.000049,9.2000,9.2000,8.7600,8.9400,8.9100,313781,2806408.7100,0.702681,1,0.336697,161.447557,5.737232,32.305319,-83.373287,0
2000-01-18,sz.000049,9.0000,9.0000,8.8000,8.8000,8.9400,350800,3117679.6000,0.785582,1,-1.565989,158.919295,5.647387,31.799419,-82.067665,0
2000-01-19,sz.000049,8.7000,8.9600,8.6000,8.6400,8.8000,570195,4943586.0000,1.276895,1,-1.818180,156.029854,5.544708,31.221248,-80.575525,0
2000-01-20,sz.000049,8.6900,9.0900,8.6400,8.9800,8.6400,708110,6334033.8000,1.585742,1,3.935176,162.169917,5.762902,32.449862,-83.746321,0
2000-01-21,sz.000049,8.9000,9.0300,8.6000,8.8100,8.9800,1053695,9254972.5600,2.359645,1,-1.893086,159.099885,5.653805,31.835555,-82.160923,0
2000-01-24,sz.000049,8.8100,9.4400,8.5500,9.4200,8.8100,2131844,18987217.2400,4.774053,1,6.923946,170.115882,6.045271,34.039833,-87.849705,0
2000-01-25,sz.000049,9.4000,9.7600,9.0100,9.2900,9.4200,1977157,18777966.4500,4.427647,1,-1.380044,167.768211,5.961844,33.570069,-86.637341,0
2000-01-26,sz.000049,9.3000,9.4800,9.0200,9.1300,9.2900,489183,4478243.7600,1.095477,1,-1.722280,164.878769,5.859164,32.991897,-85.145202,0
2000-01-27,sz.000049,9.2000,9.2000,8.7300,8.7900,9.1300,1131220,10083181.5000,2.533255,1,-3.723988,158.738705,5.640970,31.763284,-81.974406,0
2000-01-28,sz.000049,8.8000,9.1000,8.7000,8.9400,8.7900,1287067,11379287.0200,2.882259,1,1.706480,161.447557,5.737232,32.305319,-83.373287,0
2000-02-14,sz.000049,9.0600,9.8300,9.0600,9.8300,8.9400,2419920,23073403.3500,5.419171,1,9.955261,177.520076,6.308388,35.521397,-91.673312,0
2000-02-15,sz.000049,10.2000,10.5500,9.0000,10.2200,9.8300,4997206,51191847.6600,11.190747,1,3.967450,184.563091,6.558670,36.930689,-95.310401,0
2000-02-16,sz.000049,10.2800,10.7200,10.2000,10.6000,10.2200,4029331,42189020.2900,9.023287,1,3.718201,191.425515,6.802535,38.303846,-98.854232,0
2000-02-17,sz.000049,10.6100,11.1500,10.0200,10.8000,10.6000,4766534,49881846.3400,10.674180,1,1.886791,195.037317,6.930884,39.026560,-100.719407,0
2000-02-18,sz.000049,10.8500,11.4000,10.5400,10.6200,10.8000,4434043,48670621.4800,9.929600,1,-1.666670,191.786695,6.815370,38.376117,-99.040750,0
2000-02-21,sz.000049,10.6000,10.8000,9.9900,10.1600,10.6200,2628916,27020581.7400,5.887197,1,-4.331450,183.479550,6.520165,36.713875,-94.750849,0
2000-02-22,sz.000049,10.1700,10.7000,9.8000,9.9000,10.1600,1902314,19498766.4400,4.260044,1,-2.559057,178.784207,6.353311,35.774347,-92.326123,0
2000-02-23,sz.000049,9.8700,10.0000,9.6500,9.6800,9.9000,940513,9225739.5700,2.106186,1,-2.222215,174.811225,6.212126,34.979361,-90.274431,0
2000-02-24,sz.000049,9.5500,9.9800,9.5500,9.9700,9.6800,809074,7864764.5600,1.811841,1,2.995867,180.048338,6.398233,36.027297,-92.978934,0
2000-02-25,sz.000049,10.0000,10.0000,9.5800,9.6800,9.9700,883492,8537405.2600,1.978493,1,-2.908726,174.811225,6.212126,34.979361,-90.274431,0
2000-02-28,sz.000049,9.6800,10.1600,9.3200,9.9500,9.6800,1148851,11233604.6000,2.572738,1,2.789251,179.687158,6.385398,35.955025,-92.792416,0
2000-02-29,sz.000049,9.9900,10.9500,9.7000,10.9500,9.9500,2936886,30311306.9300,6.576865,1,10.050250,197.746169,7.027147,39.568596,-102.118287,0
2000-03-01,sz.000049,11.2000,11.7000,10.7000,10.8500,10.9500,6270821,70032114.4100,14.042882,1,-0.913237,195.940267,6.962972,39.207238,-101.185700,0
2000-03-02,sz.000049,10.8500,11.0000,10.4000,10.5800,10.8500,2052001,21912737.3100,4.595253,1,-2.488483,191.064335,6.789700,38.231574,-98.667715,0
2000-03-03,sz.000049,10.6000,11.2800,10.6000,10.9200,10.5800,2203049,24078767.5000,4.933510,1,3.213612,197.204398,7.007894,39.460188,-101.838511,0
2000-03-06,sz.000049,10.9200,11.0900,10.0000,10.0000,10.9200,1573441,16501700.2800,3.523565,1,-8.424910,180.590108,6.417486,36.135704,-93.258710,0
2000-03-07,sz.000049,9.9500,10.4500,9.7300,10.3800,10.0000,850216,8575390.0000,1.903974,1,3.800001,187.452532,6.661350,37.508860,-96.802541,0
2000-03-08,sz.000049,10.4000,10.4500,10.0800,10.3300,10.3800,1035092,10542028.8400,2.317986,1,-0.481697,186.549582,6.629263,37.328182,-96.336247,0
2000-03-09,sz.000049,10.2500,10.2900,10.0500,10.0800,10.3300,914550,9242075.6000,2.048044,1,-2.420135,182.034829,6.468825,36.424789,-94.004780,0
2000-03-10,sz.000049,10.1500,10.4500,9.9000,9.9200,10.0800,939021,9487427.6900,2.102844,1,-1.587300,179.145387,6.366146,35.846618,-92.512640,0
2000-03-13,sz.000049,10.0000,10.6000,9.7000,10.5900,9.9200,2418632,24490012.2500,5.416286,1,6.754033,191.244925,6.796117,38.267710,-98.760974,0
2000-03-14,sz.000049,10.3000,10.7000,9.8000,10.6000,10.5900,1725188,17655386.5900,3.863387,1,0.094431,191.425515,6.802535,38.303846,-98.854232,0
2000-03-15,sz.000049,10.6000,11.2000,10.5000,10.8700,10.6000,3184801,34754185.3400,7.132046,1,2.547165,196.301448,6.975807,39.279510,-101.372218,0
2000-03-16,sz.000049,10.8000,10.8500,10.2000,10.6600,10.8700,1994187,20865279.4200,4.465784,1,-1.931923,192.509055,6.841040,38.520660,-99.413785,0
2000-03-17,sz.000049,10.5000,11.4900,10.5000,11.1900,10.6600,5508485,61258089.4800,12.335706,1,4.971855,202.080331,7.181166,40.435852,-104.356496,0
2000-03-20,sz.000049,11.2000,12.3100,11.0100,12.3100,11.1900,7691234,92589754.4500,17.223756,1,10.008940,222.306423,7.899925,44.483051,-114.801472,0
2000-03-21,sz.000049,12.3100,12.3500,11.7000,11.7500,12.3100,3948827,47165365.1100,8.843006,1,-4.549150,212.193377,7.540546,42.459452,-109.578984,0
2000-03-22,sz.000049,11.7400,12.3000,11.5700,11.8500,11.7500,2921598,34671572.3100,6.542629,1,0.851067,213.999278,7.604720,42.820809,-110.511571,0
2000-03-23,sz.000049,12.0000,12.7000,12.0000,12.3400,11.8500,3677156,45501798.9100,8.234626,1,4.135019,222.848194,7.919177,44.591458,-115.081248,0
2000-03-24,sz.000049,12.5400,12.5800,11.7000,11.7600,12.3400,4156365,49593142.6800,9.307767,1,-4.700161,212.373967,7.546963,42.495588,-109.672243,0
2000-03-27,sz.000049,11.7000,12.2200,11.5500,11.9900,11.7600,3162481,37533901.7400,7.082063,1,1.955778,216.527540,7.694565,43.326709,-111.817193,0
2000-03-28,sz.000049,12.2000,12.4000,11.5800,11.6600,11.9900,2289174,27114183.9900,5.126378,1,-2.752293,81.195678,7.022613,9.893378,352.782271,0
2000-03-29,sz.000049,11.7000,11.8000,11.0700,11.3100,11.6600,2521701,28556446.7300,5.647099,1,-3.001710,78.758415,6.811814,9.596407,342.192752,0
2000-03-30,sz.000049,11.3500,11.6000,11.1600,11.5000,11.3100,1602106,18344916.5400,3.587757,1,1.679925,80.081500,6.926248,9.757620,347.941348,0
2000-03-31,sz.000049,11.5500,12.6300,11.5000,12.2600,11.5000,4244824,52118680.2400,9.505862,1,6.608698,85.373843,7.383983,10.402471,370.935733,0
2000-04-03,sz.000049,12.3800,12.6500,11.9300,11.9600,12.2600,2227116,27324375.6300,4.987405,1,-2.446984,83.284760,7.203298,10.147924,361.859002,0
2000-04-04,sz.000049,11.9600,11.9700,11.5000,11.6100,11.9600,1208096,14104727.2000,2.705411,1,-2.926425,80.847497,6.992499,9.850953,351.269483,0
2000-04-05,sz.000049,11.6000,12.2000,11.3800,12.1400,11.6100,1602801,18957075.1500,3.589314,1,4.565036,84.538210,7.311709,10.300652,367.305041,0
2000-04-06,sz.000049,12.2000,13.3300,12.2000,12.9900,12.1400,7054987,90895544.6400,15.798944,1,7.001643,90.457277,7.823649,11.021868,393.022445,0
2000-04-07,sz.000049,13.0000,13.3000,12.6500,12.6700,12.9900,3859530,49922885.7400,8.643035,1,-2.463431,88.228923,7.630918,10.750351,383.340599,0
2000-04-10,sz.000049,12.7000,12.9000,12.5100,12.8100,12.6700,1703986,21689600.6300,3.815908,1,1.104975,89.203828,7.715238,10.869140,387.576406,0
2000-04-11,sz.000049,12.7900,12.8000,12.2500,12.2800,12.8100,2128098,26388946.0100,4.765664,1,-4.137398,85.513115,7.396028,10.419441,371.540849,0
2000-04-12,sz.000049,12.3000,12.5900,11.9800,12.4000,12.2800,1692070,20797943.0000,3.789223,1,0.977198,86.348748,7.468302,10.521259,375.171541,0
2000-04-13,sz.000049,12.1000,12.2800,11.9000,12.0600,12.4000,1791095,21618987.4000,4.010980,1,-2.741929,83.981121,7.263526,10.232773,364.884579,0
2000-04-14,sz.000049,12.1000,12.5000,12.0800,12.3300,12.0600,1427002,17554082.5300,3.195629,1,2.238802,85.861296,7.426142,10.461865,373.053637,0
2000-04-17,sz.000049,12.3300,12.4800,11.7000,11.9500,12.3300,1482002,17693454.6400,3.318796,1,-3.081915,83.215124,7.197275,10.139439,361.556445,0
2000-04-18,sz.000049,11.9600,12.2500,11.7100,12.2500,11.9500,883007,10561575.7500,1.977407,1,2.510462,85.304207,7.377960,10.393986,370.633175,0
2000-04-19,sz.000049,12.2500,12.2800,12.0500,12.1100,12.2500,731366,8881905.3100,1.637822,1,-1.142860,84.329302,7.293640,10.275198,366.397368,0
2000-04-20,sz.000049,12.1000,12.4700,12.0000,12.4500,12.1100,1238637,15227890.2600,2.773805,1,2.807598,86.696929,7.498416,10.563684,376.684329,0
2000-04-21,sz.000049,12.4400,12.5500,12.0500,12.1000,12.4500,1008736,12397693.5800,2.258964,1,-2.811240,84.259666,7.287617,10.266713,366.094810,0
2000-04-24,sz.000049,12.0700,12.4500,11.8000,11.8800,12.1000,1092430,13132786.2000,2.446389,1,-1.818184,82.727672,7.155115,10.080045,359.438541,0
2000-04-25,sz.000049,11.8800,11.8900,11.4000,11.6200,11.8800,1489468,17283291.1300,3.335516,1,-2.188554,80.917133,6.998522,9.859438,351.572041,0
2000-04-26,sz.000049,11.6000,11.7000,11.3900,11.6300,11.6200,1017480,11698804.5800,2.278546,1,0.086060,80.986769,7.004545,9.867923,351.874598,0
2000-04-27,sz.000049,11.6500,11.6600,11.1800,11.2000,11.6300,933375,10566890.0000,2.090201,1,-3.697337,77.992418,6.745563,9.503073,338.864618,0
2000-04-28,sz.000049,11.2000,11.3500,11.0800,11.2700,11.2000,880573,9864388.5700,1.971956,1,0.625006,78.479870,6.787723,9.562467,340.982521,0
2000-05-08,sz.000049,11.2100,11.8000,11.2000,11.7600,11.2700,1848483,20924112.0600,4.139494,1,4.347824,81.892039,7.082841,9.978227,355.807848,0
2000-05-09,sz.000049,11.6900,11.8200,11.5000,11.7700,11.7600,1194129,13916915.8300,2.674133,1,0.085036,81.961675,7.088864,9.986711,356.110406,0
2000-05-10,sz.000049,11.7000,11.9400,11.5100,11.9000,11.7700,1288741,15071041.9400,2.886008,1,1.104496,82.866944,7.167161,10.097015,360.043656,0
2000-05-11,sz.000049,11.8000,12.1300,11.7300,12.1000,11.9000,2986338,35771849.3000,6.687608,1,1.680679,84.259666,7.287617,10.266713,366.094810,0
2000-05-12,sz.000049,12.0800,12.8000,11.7000,11.7700,12.1000,5602346,69411498.5100,12.545898,1,-2.727272,81.961675,7.088864,9.986711,356.110406,0
2000-05-15,sz.000049,11.4900,11.8000,10.7700,10.9800,11.7700,2008219,22470507.2100,4.497207,1,-6.711987,76.460424,6.613061,9.316405,332.208348,0
2000-05-16,sz.000049,10.9800,11.4500,10.9000,11.3200,10.9800,975244,10940668.4000,2.183962,1,3.096541,78.828051,6.817837,9.604892,342.495310,0
2000-05-17,sz.000049,11.3000,11.3800,11.0000,11.0500,11.3200,783750,8746409.6900,1.755130,1,-2.385155,76.947876,6.655221,9.375800,334.326252,0
2000-05-18,sz.000049,11.0000,11.2800,10.9600,11.2500,11.0500,590310,6566323.0000,1.321941,1,1.809953,78.340598,6.775677,9.545497,340.377406,0
2000-05-19,sz.000049,11.3000,11.5000,11.0000,11.4700,11.2500,1265537,14296650.9300,2.834045,1,1.955558,79.872592,6.908180,9.732165,347.033675,0
2000-05-22,sz.000049,11.4900,12.0500,11.4000,11.9500,11.4700,1961776,23242579.6300,4.393203,1,4.184826,83.215124,7.197275,10.139439,361.556445,0
2000-05-23,sz.000049,11.8900,12.0000,11.5000,11.7800,11.9500,1246635,14718586.2700,2.791715,1,-1.422595,82.031311,7.094887,9.995196,356.412964,0
2000-05-24,sz.000049,11.7500,12.5500,11.7000,12.5200,11.7800,4258394,52482869.8000,9.536251,1,6.281840,87.184381,7.540576,10.623078,378.802233,0
2000-05-25,sz.000049,12.5200,12.8900,12.4100,12.5700,12.5200,2421872,30519358.7500,5.423542,1,0.399355,87.532562,7.570690,10.665502,380.315022,0
2000-05-26,sz.000049,12.6500,13.3200,12.3000,12.9900,12.5700,4192035,53804333.2100,9.387647,1,3.341290,90.457277,7.823649,11.021868,393.022445,0
2000-05-29,sz.000049,13.1800,14.1200,12.8900,14.0100,12.9900,5475107,74356549.9500,12.260959,1,7.852198,97.560158,8.437977,11.887326,423.883330,0
2000-05-30,sz.000049,14.0000,14.2500,13.6800,13.9500,14.0100,3799604,53284996.0800,8.508836,1,-0.428268,97.142342,8.401840,11.836417,422.067983,0
2000-05-31,sz.000049,13.8500,14.5000,13.7000,14.4800,13.9500,3250393,46096273.0400,7.278933,1,3.799281,100.833054,8.721050,12.286116,438.103541,0
2000-06-01,sz.000049,14.3800,14.8900,14.2000,14.4300,14.4800,1943968,28330367.3300,4.353324,1,-0.345299,100.484874,8.690936,12.243691,436.590753,0
2000-06-02,sz.000049,14.4000,14.7600,14.3300,14.5000,14.4300,2137629,31001940.6700,4.787008,1,0.485098,100.972326,8.733095,12.303085,438.708657,0
2000-06-05,sz.000049,14.9000,14.9000,13.6000,13.7300,14.5000,4206711,59995760.2700,9.420512,1,-5.310348,95.610348,8.269338,11.649749,415.411714,0
2000-06-06,sz.000049,13.6900,15.1000,13.6300,15.0900,13.7300,3782681,54903550.5100,8.470939,1,9.905322,105.080856,9.088442,12.803694,456.559561,0
2000-06-07,sz.000049,15.1000,16.3900,15.1000,16.0900,15.0900,3360713,53001442.3600,7.525983,1,6.626905,112.044464,9.690724,13.652182,486.815330,0
2000-06-08,sz.000049,16.1500,16.2000,15.0000,15.4000,16.0900,4070770,62405498.0500,9.116086,1,-4.288382,107.239574,9.275149,13.066725,465.938849,0
2000-06-09,sz.000049,15.2000,15.4400,14.6700,15.3800,15.4000,3660592,55192450.5400,8.197533,1,-0.129867,107.100302,9.263104,13.049755,465.333734,0
2000-06-12,sz.000049,15.2000,16.1200,14.9300,15.6400,15.3800,1863078,29361261.1700,4.172178,1,1.690509,108.910840,9.419697,13.270363,473.200234,0
2000-06-13,sz.000049,15.6300,15.8000,15.1000,15.3400,15.6400,1615837,24819040.7200,3.618507,1,-1.918160,106.821758,9.239013,13.015816,464.123503,0
2000-06-14,sz.000049,15.1500,15.6000,14.7800,15.0200,15.3400,2863878,43430434.9700,6.413371,1,-2.086047,104.593403,9.046282,12.744300,454.441657,0
2000-06-15,sz.000049,15.0000,15.2200,14.6000,15.1100,15.0200,1319610,19715275.5700,2.955136,1,0.599196,105.220128,9.100488,12.820664,457.164676,0
2000-06-16,sz.000049,15.1100,15.1500,14.5500,14.6000,15.1100,1087800,16049121.5000,2.436020,1,-3.375243,101.668687,8.793324,12.387934,441.734234,0
