date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-04-28,sz.002983,15.5600,18.6800,15.5600,18.6800,12.9700,136042,2536740.0000,0.384100,1,44.024700,28.016597,4.998876,5.167930,62.331147
2020-04-29,sz.002983,20.5500,20.5500,20.5500,20.5500,18.6800,34100,700755.0000,0.096300,1,10.010700,30.821256,5.499298,5.685276,68.570935
2020-04-30,sz.002983,22.6100,22.6100,22.6100,22.6100,20.5500,79468,1796771.0000,0.224400,1,10.024300,33.910881,6.050566,6.255187,75.444713
2020-05-06,sz.002983,24.8700,24.8700,24.8700,24.8700,22.6100,110931,2758853.0000,0.313200,1,9.995600,37.300469,6.655355,6.880429,82.985847
2020-05-07,sz.002983,27.3600,27.3600,27.3600,27.3600,24.8700,99700,2727792.0000,0.281500,1,10.012100,41.035016,7.321694,7.569302,91.294443
2020-05-08,sz.002983,30.1000,30.1000,30.1000,30.1000,27.3600,156003,4695690.0000,0.440400,1,10.014600,45.144517,8.054933,8.327339,100.437234
2020-05-11,sz.002983,33.1100,33.1100,33.1100,33.1100,30.1000,387240,12821516.0000,1.093300,1,10.000000,49.658968,8.860427,9.160073,110.480957
2020-05-12,sz.002983,36.4200,36.4200,36.4200,36.4200,33.1100,387214,14102333.0000,1.093200,1,9.997000,54.623365,9.746202,10.075803,121.525716
2020-05-13,sz.002983,40.0600,40.0600,40.0600,40.0600,36.4200,378591,15166355.0000,1.068900,1,9.994500,60.082702,10.720287,11.082830,133.671614
2020-05-14,sz.002983,44.0700,44.0700,44.0700,44.0700,40.0600,7225874,318444272.0000,20.400500,1,10.010000,66.096972,11.793386,12.192220,147.052123
2020-05-15,sz.002983,48.0000,48.4800,46.9900,48.4800,44.0700,13737073,659094864.0000,38.783400,1,10.006800,72.711168,12.973527,13.412272,161.767346
2020-05-18,sz.002983,52.9000,53.3300,48.2100,48.8900,48.4800,26078633,1329077632.0000,73.626900,1,0.845700,73.326094,13.083246,13.525701,163.135428
2020-05-19,sz.002983,45.1300,53.7800,45.1300,52.4000,48.8900,22967549,1142926128.0000,64.843400,1,7.179400,78.590454,14.022542,14.496763,174.847544
2020-05-20,sz.002983,50.3100,52.1800,48.8000,49.3800,52.4000,16123203,807135504.0000,45.520100,1,-5.763400,74.061004,13.214373,13.661262,164.770452
2020-05-21,sz.002983,48.8900,53.3000,46.8800,51.4800,49.3800,17917624,900627600.0000,50.586200,1,4.252700,77.210622,13.776345,14.242239,171.777701
2020-05-22,sz.002983,50.2000,50.6000,47.4500,47.8900,51.4800,11095851,545032688.0000,31.326500,1,-6.973600,71.826276,12.815640,13.249045,159.798642
2020-05-25,sz.002983,47.1600,47.8600,43.1000,43.1000,47.8900,11460128,507485584.0000,32.355000,1,-10.002100,64.642148,11.533808,11.923864,143.815441
2020-05-26,sz.002983,42.2800,44.3000,41.5200,43.2600,43.1000,8284332,357549904.0000,23.388900,1,0.371200,64.882119,11.576625,11.968129,144.349327
2020-05-27,sz.002983,42.9100,45.5000,42.9100,44.9000,43.2600,10917134,484958544.0000,30.821900,1,3.791000,67.341820,12.015499,12.421844,149.821655
2020-05-28,sz.002983,43.8800,44.3000,40.6100,40.8600,44.9000,9944894,417566192.0000,28.077100,1,-8.997800,61.282556,10.934371,11.304155,136.341043
2020-05-29,sz.002983,40.8600,42.4600,40.1000,41.5100,40.8600,7275462,300519584.0000,20.540500,1,1.590800,62.257438,11.108315,11.483981,138.509953
2020-06-01,sz.002983,41.5000,43.3800,41.4900,42.5600,41.5100,7980009,339223440.0000,22.529700,1,2.529500,63.832247,11.389301,11.774470,142.013577
2020-06-02,sz.002983,42.1800,46.8200,41.9100,46.8200,42.5600,10549736,471011648.0000,29.784700,1,10.009400,70.221471,12.529302,12.953023,156.228282
2020-06-03,sz.002983,49.4800,50.5000,46.8300,47.2500,46.8200,17554971,850256784.0000,49.562300,1,0.918400,70.866392,12.644372,13.071985,157.663100
2020-06-04,sz.002983,46.0100,46.8000,44.3000,44.7300,47.2500,11157838,506884592.0000,31.501500,1,-5.333300,67.086851,11.970006,12.374813,149.254401
2020-06-05,sz.002983,44.3100,44.5800,42.9100,43.4900,44.7300,7445488,324306944.0000,21.020600,1,-2.772200,65.227077,11.638175,12.031760,145.116788
2020-06-08,sz.002983,44.0000,47.8400,44.0000,46.7300,43.4900,12580441,583932912.0000,35.517900,1,7.450000,70.086487,12.505217,12.928124,155.927972
2020-06-09,sz.002983,45.0000,45.4000,43.6000,45.0100,46.7300,8909896,396969313.9500,25.155000,1,-3.680700,67.506800,12.044935,12.452276,150.188701
2020-06-10,sz.002983,44.4100,46.8200,43.5800,45.9900,45.0100,9607349,438247468.6700,27.124100,1,2.177300,68.976622,12.307189,12.723399,153.458751
2020-06-11,sz.002983,45.9000,49.0000,45.3900,47.7400,45.9900,12451132,583281692.4100,35.152800,1,3.805200,71.601303,12.775499,13.207547,159.298125
2020-06-12,sz.002983,45.9000,49.4900,45.3500,49.0000,47.7400,12964453,621498049.7500,36.602100,1,2.639300,73.491074,13.112682,13.556133,163.502474
2020-06-15,sz.002983,48.1000,49.9600,46.5000,46.7500,49.0000,10422369,501189998.4200,29.425100,1,-4.591800,70.116483,12.510569,12.933657,155.994707
2020-06-16,sz.002983,47.0000,48.4900,46.0600,47.1100,46.7500,7960056,376243939.3300,22.473300,1,0.770100,70.656418,12.606908,13.033253,157.195950
2020-06-17,sz.002983,46.5900,46.9600,44.4800,45.2500,47.1100,8009408,362437009.6100,22.612700,1,-3.948200,67.866757,12.109161,12.518674,150.989529
2020-06-18,sz.002983,44.9000,45.8300,44.1000,45.1000,45.2500,4668572,211732231.3700,13.180600,1,-0.331500,67.641784,12.069020,12.477175,150.489012
2020-06-19,sz.002983,44.5500,44.9600,43.8800,44.2600,45.1000,4767585,211467603.2100,13.460100,1,-1.862500,66.381937,11.844231,12.244785,147.686112
2020-06-22,sz.002983,44.5000,45.9700,44.5000,45.3200,44.2600,5477601,248474386.1400,15.464700,1,2.394900,67.971744,12.127893,12.538040,151.223104
2020-06-23,sz.002983,45.8800,47.9000,45.3400,46.7500,45.3200,8611657,404472231.0800,24.313000,1,3.155300,70.116483,12.510569,12.933657,155.994707
2020-06-24,sz.002983,45.7200,45.9000,44.1600,45.1600,46.7500,6702592,301732556.3300,18.923200,1,-3.401100,67.731773,12.085076,12.493775,150.689219
2020-06-29,sz.002983,44.9700,44.9900,44.2000,44.6600,45.1600,3920557,174534829.7900,11.068800,1,-1.107200,66.981864,11.951273,12.355447,149.020826
2020-06-30,sz.002983,45.0000,49.1300,44.9500,47.8100,44.6600,11423986,542482015.3300,32.252900,1,7.053300,71.706290,12.794232,13.226913,159.531700
2020-07-01,sz.002983,48.1900,52.5000,47.2200,50.9200,47.8100,15734064,775005105.5700,44.421400,1,6.504900,76.370724,13.626485,14.087312,169.909101
2020-07-02,sz.002983,50.2300,51.2300,48.8700,51.1900,50.9200,10792124,539566837.6300,30.469000,1,0.530200,76.775675,13.698739,14.162009,170.810033
2020-07-03,sz.002983,50.8800,54.0000,49.5200,49.7000,51.1900,11608232,598147505.8600,32.773100,1,-2.910700,74.540946,13.300006,13.749792,165.838224
2020-07-06,sz.002983,49.0500,54.0000,48.2500,53.1100,49.7000,13951484,716375207.2800,39.388700,1,6.861200,79.655325,14.212542,14.693188,177.216661
2020-07-07,sz.002983,52.8900,57.3500,52.4300,53.6800,53.1100,14747132,809526715.5600,41.635000,1,1.073200,80.510221,14.365077,14.850882,179.118629
2020-07-08,sz.002983,52.5000,55.1000,51.8100,54.2500,53.6800,10653626,568810694.2700,30.078000,1,1.061800,81.365117,14.517613,15.008576,181.020596
