date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2000-01-04,sz.000507,5.3700,5.5200,5.3000,5.4900,5.3900,1941100,10426128.0700,0.993768,1,1.855286,-22.020884,2.206958,13.901348,-138.696653
2000-01-05,sz.000507,5.5000,5.7600,5.3900,5.7600,5.4900,2523047,14069939.3500,1.291703,1,4.918041,-23.103878,2.315497,14.585021,-145.517800
2000-01-06,sz.000507,5.7300,5.8300,5.6000,5.7000,5.7600,2072593,11869466.1300,1.061088,1,-1.041674,-22.863213,2.291377,14.433093,-144.001990
2000-01-07,sz.000507,5.9500,5.9900,5.7900,5.9900,5.7000,5372096,31942074.8600,2.750306,1,5.087719,-24.026429,2.407956,15.167409,-151.328407
2000-01-10,sz.000507,6.0200,6.2900,6.0000,6.2400,5.9900,7392772,45641013.5600,3.784814,1,4.173623,-25.029201,2.508455,15.800439,-157.644284
2000-01-11,sz.000507,6.2000,6.2200,5.9300,5.9300,6.2400,1735642,10443541.8600,0.888582,1,-4.967948,-23.785763,2.383836,15.015481,-149.812596
2000-01-12,sz.000507,5.8000,5.8500,5.6300,5.6300,5.9300,1033500,5874564.0000,0.529112,1,-5.059017,-22.582436,2.263238,14.255845,-142.233544
2000-01-13,sz.000507,5.4900,5.8000,5.3500,5.5900,5.6300,3475748,19365207.3800,1.779449,1,-0.710479,-22.421993,2.247158,14.154560,-141.223004
2000-01-14,sz.000507,5.4900,5.7300,5.4900,5.5900,5.5900,697620,3890467.2000,0.357155,1,0.000000,-22.421993,2.247158,14.154560,-141.223004
2000-01-17,sz.000507,5.5900,5.6400,5.4200,5.5000,5.5900,1936703,10694521.4400,0.991517,1,-1.610021,-22.060995,2.210978,13.926669,-138.949288
2000-01-18,sz.000507,5.5000,5.6000,5.4300,5.5100,5.5000,2039600,11256603.6300,1.044197,1,0.181822,-22.101106,2.214998,13.951990,-139.201924
2000-01-19,sz.000507,5.5000,5.6000,5.3600,5.4200,5.5100,2202854,12005184.4600,1.127776,1,-1.633397,-21.740108,2.178818,13.724099,-136.928208
2000-01-20,sz.000507,5.4200,5.4300,5.2600,5.3300,5.4200,1623496,8632830.9000,0.831167,1,-1.660519,-21.379109,2.142639,13.496208,-134.654492
2000-01-21,sz.000507,5.3300,5.5200,5.2800,5.4500,5.3300,1963509,10566932.6300,1.005241,1,2.251405,-21.860440,2.190878,13.800063,-137.686113
2000-01-24,sz.000507,5.4500,5.4900,5.2000,5.2400,5.4500,2095100,11079206.5000,1.072610,1,-3.853212,-21.018111,2.106459,13.268317,-132.380777
2000-01-25,sz.000507,5.2400,5.5000,5.1100,5.5000,5.2400,5992224,32239258.2300,3.067787,1,4.961837,-22.060995,2.210978,13.926669,-138.949288
2000-01-26,sz.000507,5.5400,5.7800,5.5400,5.7800,5.5000,3628816,20828626.6900,1.857814,1,5.090913,-23.184100,2.323537,14.635663,-146.023070
2000-01-27,sz.000507,5.9000,6.0700,5.6000,5.8300,5.7800,7624875,44547507.1200,3.903642,1,0.865047,-23.384654,2.343637,14.762269,-147.286246
2000-01-28,sz.000507,5.9000,5.9500,5.7100,5.7900,5.8300,2601275,15016341.5300,1.331752,1,-0.686106,-23.224211,2.327557,14.660984,-146.275705
2000-02-14,sz.000507,5.8000,6.0800,5.5100,6.0800,5.7900,9542857,56167706.9200,4.885575,1,5.008635,-24.387427,2.444136,15.395300,-153.602123
2000-02-15,sz.000507,6.1300,6.3800,6.1200,6.2000,6.0800,12969236,82307524.9500,6.639748,1,1.973682,-24.868758,2.492375,15.699154,-156.633743
2000-02-16,sz.000507,6.2800,6.5100,6.2300,6.5100,6.2000,16236475,105288340.9200,8.312449,1,5.000007,-26.112196,2.616994,16.484112,-164.465431
2000-02-17,sz.000507,6.1800,6.8400,6.1800,6.8400,6.5100,15082606,102391472.9200,7.721712,1,5.069123,-27.435855,2.749653,17.319712,-172.802388
2000-02-18,sz.000507,6.9100,7.1800,6.8900,7.1800,6.8400,19620125,140004454.0900,10.044747,1,4.970756,-28.799626,2.886331,18.180633,-181.391980
2000-02-21,sz.000507,7.5000,7.5400,7.2500,7.5400,7.1800,13282725,99759671.2900,6.800243,1,5.013930,-30.243618,3.031050,19.092197,-190.486843
2000-02-22,sz.000507,7.9200,7.9200,7.1600,7.1600,7.5400,14752167,111213218.7800,7.552540,1,-5.039790,-28.719404,2.878291,18.129991,-180.886710
2000-02-23,sz.000507,6.9500,7.0200,6.8000,6.8000,7.1600,4724898,32425543.4900,2.418965,1,-5.027928,-27.275412,2.733573,17.218427,-171.791848
2000-02-24,sz.000507,6.4700,6.8600,6.4600,6.6800,6.8000,10042804,66089860.7700,5.141528,1,-1.764711,-26.794081,2.685333,16.914573,-168.760227
2000-02-25,sz.000507,6.6800,7.0100,6.6100,6.7200,6.6800,7210038,49422087.9600,3.691261,1,0.598802,-26.954524,2.701413,17.015857,-169.770767
2000-02-28,sz.000507,6.7300,6.8000,6.5000,6.6700,6.7200,5009742,33467162.6600,2.564795,1,-0.744043,-26.753970,2.681313,16.889251,-168.507592
2000-02-29,sz.000507,6.5900,6.7400,6.3400,6.4000,6.6700,10779746,69487337.9800,5.518814,1,-4.047976,-25.670976,2.572774,16.205578,-161.686445
2000-03-01,sz.000507,6.4000,6.7200,6.3500,6.7200,6.4000,10204165,68274555.5300,5.224139,1,4.999995,-26.954524,2.701413,17.015857,-169.770767
2000-03-02,sz.000507,6.8500,7.0600,6.7500,7.0300,6.7200,11896218,82372225.5000,6.090405,1,4.613101,-28.197962,2.826032,17.800815,-177.602454
2000-03-03,sz.000507,7.0500,7.1200,6.7600,6.8200,7.0300,8042698,55501309.6800,4.117551,1,-2.987198,-27.355633,2.741613,17.269070,-172.297118
2000-03-06,sz.000507,6.8200,7.0500,6.6500,6.7000,6.8200,8807806,60430778.7500,4.509257,1,-1.759536,-26.874303,2.693373,16.965215,-169.265497
2000-03-07,sz.000507,6.6000,6.8400,6.4500,6.6000,6.7000,7437472,49048576.0400,3.807699,1,-1.492536,-26.473194,2.653174,16.712003,-166.739146
2000-03-08,sz.000507,6.6600,6.7700,6.4500,6.6700,6.6000,6956111,45468986.8200,3.561260,1,1.060609,-26.753970,2.681313,16.889251,-168.507592
2000-03-09,sz.000507,6.6000,7.0000,6.5800,6.8000,6.6700,7810370,53368869.6200,3.998608,1,1.949027,-27.275412,2.733573,17.218427,-171.791848
