date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2015-12-23,sz.002786,13.4900,15.4400,13.4900,15.4400,10.7200,14601,225377.0000,0.045944,1,44.029800,30.878949,3.118519,0.899871,-205.737894
2015-12-24,sz.002786,16.9800,16.9800,16.9800,16.9800,15.4400,3600,61128.0000,0.011328,1,9.974100,33.958844,3.429563,0.989624,-226.258384
2015-12-25,sz.002786,18.6800,18.6800,18.6800,18.6800,16.9800,2300,42964.0000,0.007237,1,10.011800,37.358728,3.772923,1.088703,-248.910872
2015-12-28,sz.002786,20.5500,20.5500,20.5500,20.5500,18.6800,3900,80145.0000,0.012272,1,10.010700,41.098601,4.150620,1.197690,-273.828609
2015-12-29,sz.002786,22.6100,22.6100,22.6100,22.6100,20.5500,3800,85918.0000,0.011957,1,10.024300,45.218461,4.566692,1.317751,-301.278095
2015-12-30,sz.002786,24.8700,24.8700,24.8700,24.8700,22.6100,5700,141759.0000,0.017936,1,9.995600,49.738307,5.023159,1.449468,-331.392580
2015-12-31,sz.002786,27.3600,27.3600,27.3600,27.3600,24.8700,8400,229824.0000,0.026432,1,10.012100,54.718137,5.526081,1.594589,-364.571813
2016-01-04,sz.002786,30.1000,30.1000,30.1000,30.1000,27.3600,40900,1231090.0000,0.128697,1,10.014600,60.197951,6.079497,1.754281,-401.082294
2016-01-05,sz.002786,33.1100,33.1100,33.1100,33.1100,30.1000,83900,2777929.0000,0.264003,1,10.000000,66.217746,6.687446,1.929709,-441.190523
2016-01-06,sz.002786,36.4200,36.4200,36.4200,36.4200,33.1100,36000,1311120.0000,0.113279,1,9.997000,72.837520,7.355989,2.122622,-485.296251
2016-01-07,sz.002786,40.0600,40.0600,40.0600,40.0600,36.4200,50550,2025033.0000,0.159062,1,9.994500,80.117272,8.091184,2.334768,-533.799226
2016-01-08,sz.002786,44.0700,44.0700,44.0700,44.0700,40.0600,114161,5031075.0000,0.359223,1,10.010000,88.136999,8.901110,2.568478,-587.232448
2016-01-11,sz.002786,48.4800,48.4800,48.4800,48.4800,44.0700,263310,12765268.0000,0.828540,1,10.006800,96.956699,9.791827,2.825500,-645.995668
2016-01-12,sz.002786,53.3300,53.3300,48.0000,48.0100,48.4800,19668706,1005593040.0000,61.890201,1,-0.969500,96.016731,9.696898,2.798108,-639.732921
2016-01-13,sz.002786,43.5000,46.3300,43.2100,43.2100,48.0100,11812725,516888544.0000,37.170312,1,-9.997900,86.417058,8.727410,2.518355,-575.772954
2016-01-14,sz.002786,39.7000,47.5300,39.5900,47.5300,43.2100,17675435,811711664.0000,55.618109,1,9.997700,95.056764,9.599949,2.770132,-633.336925
2016-01-15,sz.002786,47.3300,47.9500,42.7800,42.7800,47.5300,9089294,398780544.0000,28.600673,1,-9.993700,85.557087,8.640560,2.493294,-570.043207
2016-01-18,sz.002786,38.5000,40.9000,38.5000,38.5100,42.7800,14260973,555556256.0000,44.874050,1,-9.981300,77.017378,7.778120,2.244431,-513.145486
2016-01-19,sz.002786,37.6000,40.4000,37.6000,39.5900,38.5100,10430416,408861040.0000,32.820692,1,2.804500,79.177304,7.996255,2.307375,-527.536479
2016-01-20,sz.002786,39.2000,43.5500,39.2000,40.6000,39.5900,14567482,603242528.0000,45.838521,1,2.551100,81.197236,8.200251,2.366240,-540.994722
2016-01-21,sz.002786,38.8000,39.3800,36.5400,36.5400,40.6000,10112041,379345584.0000,31.818883,1,-10.000000,73.077512,7.380226,2.129616,-486.895250
2016-01-22,sz.002786,36.8000,38.3600,34.5100,37.1000,36.5400,8358765,307819248.0000,26.301967,1,1.532600,74.197474,7.493333,2.162254,-494.357246
2016-01-25,sz.002786,37.6000,37.8900,36.5200,37.3200,37.1000,6103863,227112138.0000,19.206617,1,0.593000,74.637459,7.537768,2.175076,-497.288745
2016-01-26,sz.002786,36.5700,36.6000,33.5900,33.5900,37.3200,6620688,228690962.0000,20.832876,1,-9.994600,67.177713,6.784395,1.957685,-447.586520
2016-01-27,sz.002786,33.3300,34.4200,31.0100,33.7000,33.5900,6791837,220944206.0000,21.371419,1,0.327500,67.397705,6.806612,1.964096,-449.052269
2016-01-28,sz.002786,32.8800,33.2500,30.3300,30.3400,33.7000,5353927,170360825.0000,16.846844,1,-9.970300,60.677934,6.127971,1.768269,-404.280292
2016-01-29,sz.002786,30.0600,32.9900,30.0100,32.1100,30.3400,6287264,200440457.0000,19.783713,1,5.833900,64.217814,6.485470,1.871428,-427.865530
2016-02-01,sz.002786,31.7800,34.9900,31.5100,32.6000,32.1100,6670538,220694276.0000,20.989736,1,1.526000,65.197780,6.584438,1.899986,-434.394777
2016-02-02,sz.002786,32.1100,33.7200,31.7500,33.2600,32.6000,6142209,203560400.0000,19.327278,1,2.024500,66.517735,6.717743,1.938452,-443.189272
2016-02-03,sz.002786,32.5000,33.7500,31.5200,33.4500,33.2600,5205038,170059252.0000,16.378345,1,0.571300,66.897722,6.756118,1.949525,-445.721021
2016-02-04,sz.002786,33.4900,36.8000,33.4000,36.7200,33.4500,11493166,415454032.0000,36.164777,1,9.775800,73.437500,7.416582,2.140107,-489.293749
2016-02-05,sz.002786,36.5000,36.8500,34.3200,34.6000,36.7200,8332840,293958368.0000,26.220390,1,-5.773400,69.197644,6.988391,2.016549,-461.044763
2016-02-15,sz.002786,32.0300,34.4300,32.0300,33.7700,34.6000,4095164,135151492.0000,12.885979,1,-2.398800,67.537701,6.820751,1.968175,-449.985019
2016-02-16,sz.002786,34.0500,35.8300,34.0000,35.2500,33.7700,5121628,180207767.0000,16.115884,1,4.382600,70.497600,7.119676,2.054432,-469.706009
2016-02-17,sz.002786,35.0100,36.6300,34.7800,35.5400,35.2500,6130812,218234221.0000,19.291416,1,0.822700,71.077580,7.178249,2.071334,-473.570257
